idx,temp
902,-7.5
903,-8.0
904,-8.3
905,-8.4
906,-8.4
907,-8.3
908,-8.2
909,-8.2
910,-8.3
911,-8.4
912,-8.4
913,-8.6
914,-8.9
915,-9.3
916,-9.4
917,-9.6
918,-9.6
919,-9.4
920,-8.9
921,-8.7
922,-8.4
923,-8.4
924,-8.3
925,-8.3
926,-8.4
927,-8.7
928,-9.0
929,-9.1
930,-9.3
931,-9.4
932,-9.3
933,-9.2
934,-9.1
935,-9.0
936,-8.9
937,-8.8
938,-8.8
939,-8.7
940,-8.5
941,-8.4
942,-8.2
943,-7.9
944,-7.6
945,-7.3
946,-6.9
947,-6.8
948,-6.7
949,-6.6
950,-6.4
951,-6.3
952,-6.3
953,-6.3
954,-6.2
955,-5.9
956,-5.6
957,-5.1
958,-5.3
959,-5.9
960,-6.5
961,-7.0
962,-7.4
963,-7.8
964,-8.0
965,-8.0
966,-8.2
967,-7.1
968,-5.9
969,-4.3
970,-2.7
971,-1.6
972,-1.0
973,-1.2
974,-1.8
975,-2.7
976,-3.6
977,-4.7
978,-5.8
979,-6.9
980,-7.7
981,-8.3
982,-8.8
983,-9.2
984,-9.6
985,-9.8
986,-9.6
987,-9.8
988,-10.2
989,-10.5
990,-10.2
991,-9.2
992,-6.9
993,-5.9
994,-5.4
995,-4.5
996,-4.6
997,-4.5
998,-4.6
999,-5.4
1000,-6.0
1001,-6.4
1002,-6.5
1003,-6.8
1004,-6.8
1005,-6.6
1006,-6.7
1007,-6.8
1008,-7.2
1009,-7.6
1010,-7.8
1011,-7.8
1012,-7.8
1013,-7.7
1014,-7.6
1015,-7.2
1016,-6.5
1017,-5.8
1018,-5.3
1019,-5.1
1020,-5.0
1021,-5.0
1022,-5.1
1023,-5.4
1024,-5.3
1025,-5.3
1026,-5.5
1027,-5.8
1028,-6.1
1029,-6.3
1030,-6.5
1031,-6.7
1032,-6.9
1033,-7.0
1034,-7.2
1035,-7.4
1036,-7.6
1037,-7.9
1038,-7.8
1039,-7.5
1040,-7.4
1041,-7.1
1042,-6.5
1043,-5.1
1044,-3.8
1045,-4.1
1046,-4.9
1047,-6.0
1048,-7.7
1049,-8.8
1050,-8.9
1051,-9.4
1052,-10.0
1053,-10.1
1054,-8.5
1055,-7.9
1056,-7.8
1057,-7.6
1058,-7.6
1059,-7.8
1060,-7.8
1061,-7.7
1062,-7.5
1063,-7.0
1064,-6.1
1065,-4.7
1066,-2.8
1067,-1.6
1068,-0.7
1069,-1.1
1070,-1.9
1071,-2.5
1072,-3.4
1073,-3.5
1074,-3.8
1075,-4.3
1076,-5.1
1077,-5.9
1078,-5.4
1079,-5.4
1080,-5.5
1081,-5.7
1082,-5.9
1083,-6.5
1084,-6.9
1085,-7.2
1086,-7.1
1087,-4.7
1088,-2.2
1089,-0.2
1090,1.6
1091,2.6
1092,3.8
1093,3.4
1094,3.0
1095,1.9
1096,0.0
1097,-1.2
1098,-1.7
1099,-2.2
1100,-2.7
1101,-3.1
1102,-3.6
1103,-4.1
1104,-4.5
1105,-4.9
1106,-5.1
1107,-5.4
1108,-5.4
1109,-5.5
1110,-5.3
1111,-2.9
1112,0.9
1113,4.6
1114,8.1
1115,9.1
1116,9.1
1117,8.1
1118,7.3
1119,5.5
1120,2.6
1121,0.1
1122,-1.2
1123,1.3
1124,1.7
1125,0.8
1126,0.0
1127,-0.4
1128,-0.6
1129,-1.4
1130,-1.4
1131,-0.3
1132,0.0
1133,0.6
1134,1.2
1135,1.4
1136,1.9
1137,2.3
1138,2.5
1139,2.5
1140,2.5
1141,2.5
1142,2.3
1143,2.4
1144,2.2
1145,2.2
1146,1.9
1147,1.5
1148,1.8
1149,2.0
1150,2.1
1151,2.1
1152,2.1
1153,1.8
1154,1.6
1155,1.5
1156,1.4
1157,1.4
1158,1.3
1159,1.5
1160,1.6
1161,2.0
1162,2.2
1163,2.4
1164,2.4
1165,2.2
1166,2.1
1167,1.9
1168,1.8
1169,1.8
1170,1.8
1171,1.9
1172,1.9
1173,1.8
1174,1.8
1175,1.8
1176,1.7
1177,1.7
1178,1.6
1179,1.5
1180,1.4
1181,1.3
1182,1.3
1183,1.4
1184,1.4
1185,1.6
1186,2.2
1187,2.9
1188,3.3
1189,3.4
1190,3.5
1191,3.1
1192,2.5
1193,2.2
1194,1.8
1195,1.0
1196,0.0
1197,-0.4
1198,-0.4
1199,0.3
1200,0.6
1201,0.5
1202,1.0
1203,1.6
1204,1.9
1205,2.2
1206,2.5
1207,2.8
1208,2.9
1209,3.4
1210,3.7
1211,4.1
1212,4.2
1213,4.7
1214,4.9
1215,5.1
1216,5.1
1217,5.4
1218,5.3
1219,4.5
1220,4.2
1221,4.2
1222,4.4
1223,4.6
1224,5.1
1225,5.6
1226,5.9
1227,6.4
1228,6.7
1229,6.7
1230,6.5
1231,6.6
1232,6.5
1233,6.6
1234,6.5
1235,6.9
1236,7.3
1237,7.2
1238,6.9
1239,6.1
1240,5.3
1241,4.6
1242,3.4
1243,3.3
1244,3.6
1245,4.4
1246,3.9
1247,3.4
1248,2.5
1249,2.7
1250,2.5
1251,2.1
1252,1.4
1253,1.6
1254,1.9
1255,2.6
1256,3.3
1257,4.1
1258,4.5
1259,4.6
1260,5.7
1261,6.7
1262,7.4
1263,8.0
1264,8.1
1265,7.6
1266,6.9
1267,6.4
1268,6.1
1269,5.5
1270,3.8
1271,2.9
1272,2.4
1273,2.4
1274,2.9
1275,2.7
1276,2.7
1277,3.1
1278,3.9
1279,4.6
1280,5.3
1281,6.0
1282,6.5
1283,6.9
1284,7.6
1285,8.1
1286,7.9
1287,7.4
1288,6.1
1289,4.6
1290,4.2
1291,4.6
1292,4.9
1293,5.2
1294,7.0
1295,8.6
1296,8.1
1297,5.8
1298,6.1
1299,6.3
1300,6.9
1301,6.9
1302,6.2
1303,6.0
1304,6.8
1305,5.6
1306,5.3
1307,5.8
1308,4.3
1309,2.9
1310,2.2
1311,0.1
1312,-1.3
1313,-1.1
1314,-0.9
1315,-0.5
1316,-1.1
1317,-1.7
1318,-1.9
1319,-2.1
1320,-2.4
1321,-2.2
1322,-1.8
1323,-1.1
1324,-0.7
1325,-0.7
1326,-0.5
1327,-0.2
1328,0.1
1329,1.1
1330,1.8
1331,3.0
1332,3.2
1333,2.6
1334,1.9
1335,1.3
1336,0.4
1337,-0.4
1338,-0.5
1339,-0.4
1340,-0.3
1341,-0.4
1342,-0.2
1343,0.4
1344,1.2
1345,1.6
1346,1.2
1347,0.9
1348,0.7
1349,1.1
1350,1.4
1351,2.4
1352,4.3
1353,6.0
1354,7.7
1355,7.0
1356,5.7
1357,4.7
1358,5.1
1359,5.5
1360,5.5
1361,5.6
1362,6.0
1363,6.3
1364,6.2
1365,6.0
1366,6.1
1367,6.4
1368,6.3
1369,6.3
1370,6.4
1371,6.5
1372,6.6
1373,6.4
1374,6.1
1375,6.7
1376,8.2
1377,9.2
1378,10.0
1379,11.4
1380,13.3
1381,13.4
1382,12.9
1383,12.3
1384,10.5
1385,9.0
1386,8.1
1387,7.3
1388,6.4
1389,6.2
1390,6.1
1391,6.1
1392,5.9
1393,5.1
1394,4.5
1395,4.2
1396,4.2
1397,4.4
1398,5.6
1399,7.3
1400,8.4
1401,10.5
1402,11.9
1403,12.8
1404,12.9
1405,12.4
1406,11.7
1407,10.9
1408,9.1
1409,7.8
1410,7.4
1411,6.5
1412,6.4
1413,6.1
1414,6.1
1415,6.4
1416,6.4
1417,5.9
1418,5.3
1419,5.2
1420,5.0
1421,5.2
1422,5.5
1423,5.8
1424,6.8
1425,8.5
1426,8.5
1427,9.4
1428,8.6
1429,8.0
1430,7.1
1431,6.9
1432,5.8
1433,4.8
1434,3.8
1435,4.0
1436,4.8
1437,5.1
1438,4.6
1439,3.8
1440,3.6
1441,3.5
1442,3.2
1443,3.0
1444,2.0
1445,1.0
1446,2.0
1447,4.2
1448,6.2
1449,7.9
1450,8.3
1451,7.7
1452,9.6
1453,10.2
1454,4.5
1455,5.1
1456,5.4
1457,4.6
1458,3.9
1459,3.9
1460,4.2
1461,4.3
1462,4.5
1463,4.3
1464,4.1
1465,3.6
1466,2.9
1467,2.9
1468,3.4
1469,3.6
1470,3.0
1471,4.2
1472,4.1
1473,4.8
1474,5.6
1475,5.7
1476,6.9
1477,7.4
1478,6.9
1479,6.3
